VP;FN;FP;VN
3;1;0;0
3;1;0;1
4;0;0;1
2;2;0;0
4;1;0;2
4;2;0;3
2;4;0;1
2;3;0;4
4;0;0;3
4;1;0;3
4;4;0;2
3;2;0;3
5;2;2;2
3;8;0;1
5;3;1;2
4;3;0;3
4;4;0;3
6;1;0;2
3;4;0;2
7;4;1;3
5;10;0;3
8;2;1;2
4;7;1;3
3;7;0;5
7;4;0;3
9;3;0;2
5;2;1;4
7;2;1;2
7;3;2;3
10;1;0;3
8;5;0;5
6;7;0;4
6;5;1;3
8;4;1;4
3;10;2;3
7;4;2;1
9;5;1;1
11;6;0;2
10;9;0;4
7;10;0;0
8;6;3;4
9;8;0;4
8;8;0;4
6;8;0;6
11;12;2;6
10;4;0;4
4;8;2;6
3;11;2;4
21;0;4;8
12;18;2;5
10;18;6;14
25;14;1;7
22;32;2;13
